instruction_zh,instruction_en,code_mixed_generated
什么是计算机？,What's a computer?,什么 computer?
计算机的基本组成部分有哪些？,What are the basic components of computers?,什么 是 computer? what's the principles?
计算机硬件与软件的区别是什么？,What's the difference between computer hardware and software?,计算机 techniques with 软件的 difference what ?
什么是冯·诺依曼结构？,What's von Neuman's structure?,什么 von nueman structure?
什么是嵌入式系统？,What's an embedded system?,什么 是 engineer system?
什么是计算机程序？,What's a computer program?,什么 是 process?
什么是操作系统？,What's the operating system?,什么 是 operating system?
什么是硬盘？,What's a hard drive?,什么 是 dyke?
什么是内存？,What's RAM?,什么 是 ical?
什么是外存？,What's a memory?,什么 是 存?
什么是二进制数制？,What's a binary system?,什么 是 binal system?
如何将十进制数转换为二进制数？,How to convert decimal numbers to binary numbers?,如何就 defencing numerals? 转换 binal numeries?
什么是十六进制数制？,What's a hexadecimal system?,什么 是 henthal system?
如何将二进制数转换为十六进制数？,How to convert binary numbers to hexadecimal numbers?,如何把 binal numerals? 转换 to 六 in numerics ?
什么是ASCII编码？,What's the ASCII code?,什么 ACSCII code?
什么是Unicode编码？,What's Unicode code?,什么 unicode code?
什么是字符编码？,What's the character code?,什么 是 chain encoder?
什么是浮点数表示？,What's a floating point sign?,什么 是 float qual?
什么是定点数表示？,What's a fixed number?,什么 是 minal numerals?
什么是补码？,What's a supplement?,什么 是 calculation?
什么是算法？,What's the algorithm?,什么 是 algory?
算法的基本特征有哪些？,What are the basic features of algorithms?,Algorithms? What are the basic 特征s ?
什么是递归算法？,What's a regression algorithm?,什么 是 regression algorithm?
什么是迭代算法？,What's an iterative algorithm?,什么 是 dieter algorithm?
什么是穷举法？,What's an exhaustive approach?,什么 是 exploration?
什么是贪心算法？,What's a greedy algorithm?,什么 是 graft algorithm?
什么是动态规划？,What is dynamic planning?,什么 是 minoral programming?
什么是二分查找？,What's a two-point search?,什么 是 big searning?
什么是冒泡排序？,What's a bubble order?,什么 是 urinal blob? sorting?
什么是快速排序？,What's fast sorting?,什么 快速 sorting?
CPU的主要功能是什么？,What is the main function of CPU?,CPU? What's the main function?
内存和外存的区别是什么？,What's the difference between RAM and RAM?,内存 and 存存的区别 是 management?
什么是缓存？,What's a cache?,什么 是 cake?
什么是RAM？,What's RAM?,什么 是 ram?
什么是ROM？,What's a rum?,什么 rom?
什么是SSD？,What's SSD?,什么 ssd?
什么是主板？,What's the main board?,什么 是 machine?
什么是GPU？,What's a GPU?,什么 是 gpu?
什么是电源供应器？,What's a power supply?,什么 是 superm?
什么是输入设备？,What's the input device?,什么 是 integration 器?
什么是操作系统的内核？,What's the kernel of the operating system?,什么 是 operating system?
什么是多任务处理？,What's multitasking?,什么 多任务处理?
什么是多线程？,What's a multiline?,什么 是 machine?
什么是虚拟内存？,What's virtual memory?,什么 虚拟 存?
什么是进程调度？,What's the process schedule?,什么 是 process schetening?
什么是死锁？,What's a dead lock?,什么 是 lock?
什么是文件系统？,What's the file system?,什么 是 system?
什么是数据库？,What's a database?,什么 是 database?
什么是事务？,What's the matter?,什么 是 service?
什么是索引？,What's the index?,什么 是 索引 ?
什么是视图？,What's the view?,什么 是 visual?
什么是数据冗余？,What's data redundancy?,什么 是 data redundant?
什么是数据规范化？,What is data standardization?,什么 是 data struting?
什么是关系模型？,What's a relationship model?,什么 是 relation model?
什么是物联网？,What's a network of things?,什么 是 物 network?
什么是智能家居？,What's a smart house?,什么 是 smart hub?
什么是智能城市？,What's a smart city?,什么 是 smart city?
什么是云计算？,What's cloud computing?,什么 是 cloud calculation?
什么是大数据？,What's big data?,什么 是 big data?
什么是人工智能？,What's an artificial intelligence?,什么 intelligence?
什么是机器学习？,What's machine learning?,什么 是 machine learning?
什么是神经网络？,What's a neural network?,什么 是 network?
什么是深度学习？,What's deep learning?,什么 深度 learning?
什么是自然语言处理（NLP）？,What is natural language processing (NLP)?,什么 是 language processing ( nlp )?
什么是物理安全？,What's physical security?,什么 物理 security?
什么是网络安全？,What's cyber security?,什么 security?
什么是加密？,What's encryption?,什么 是 encryption?
什么是数字签名？,What's a digital signature?,什么 是 data signure?
什么是防火墙？,What's a firewall?,什么 是 flaring wil?
什么是杀毒软件？,What's a poison-killer?,什么 是 sterilization software?
什么是云存储？,What's a cloud storage?,什么 是 cloud storage?
什么是VPN？,What's VPN?,什么 vpn?
什么是版本控制？,What's version control?,什么 protocol?
什么是持续集成（CI）？,What's continuous integration?,什么 是 continuous integration? ( ci ) inseparence?
什么是敏捷开发？,What is agile development?,什么 是 agile development?
什么是测试驱动开发（TDD）？,What is test-driven development (TDD)?,什么 是 test-driven development (TDD)?
什么是编译器？,What's a compiler?,什么 是 computing?
什么是解释器？,What's an interpreter?,什么 是 explorer?
什么是面向对象编程（OOP）？,What's object-oriented programming?,什么 对象 programming?
什么是并行计算？,What's a parallel calculation?,什么 是 calculation?
什么是分布式计算？,What's a distributed calculation?,什么 是 different 式 calculation?
什么是主从架构？,What is the main structure from?,什么 是 主 from structure?
什么是云计算的IaaS服务？,What's a cloud-based Iaas service?,什么 是 cloud-computing aias service?
什么是云计算的PaaS服务？,What's a cloud-based PaaS service?,什么 是 cloud computing paas service?
什么是云计算的SaaS服务？,What's a cloud-based SaaS service?,什么 是 cloud computing saas service?
什么是Docker？,What's Docker?,什么 docker?
什么是Kubernetes？,What's Kubernetes?,什么 kubernetes?
什么是微服务架构？,What's a micro-service architecture?,什么 是 micro-service structure?
什么是虚拟化技术？,What's virtual technology?,什么 虚拟化 technology?
什么是数据挖掘？,What's data mining?,什么 是 data mining?
什么是大数据分析的四个V特性？,What are the four V properties of big data analysis?,什么 是 big analysis?
什么是机器学习中的监督学习？,What is supervisory learning in machine learning?,什么 是 machine learning? 中的 supervisory l学习 ?
什么是机器学习中的无监督学习？,What is unsupervised learning in machine learning?,什么 是 machine learning? 中的 in unsupervised l学习?
什么是机器学习中的强化学习？,What is intensive learning in machine learning?,什么 是 machine learning? 中的 intensive l学习 lulting?
什么是卷积神经网络（CNN）？,What's a curly neural network (CNN)?,什么 是 curly network (CNN)?
什么是生成对抗网络（GAN）？,What's the generation of the resistance network?,什么 是 生成对抗 network ( gan )?
什么是物理层？,What's the physical layer?,什么 是 socter layer?
什么是数据链路层？,What's the data chain layer?,什么 是 data chain?
什么是网络层？,What's the network level?,什么 是 internet layer?
什么是传输层？,What's the transmission layer?,什么 是 transport layer?
什么是会话层？,What's the session layer?,什么 是 chains layer?
什么是表示层？,What's the expression layer?,什么 是 表示 layer?
什么是应用层？,What's the application layer?,什么 是 application layer?
什么是IP地址？,What's an IP address?,什么 IP 位置?
什么是子网掩码？,What's a subnet mask?,什么 是 networking?
什么是默认网关？,What's the default gateway?,什么 是 advant network?
什么是DNS？,What's DNS?,什么 dns?
什么是HTTP？,What's HTTP?,什么 HTTP?
什么是HTTPS？,What's HTTPS?,什么 HTTPS?
什么是蓝牙技术？,What's Bluetooth Technology?,什么 蓝牙 technology?
什么是NFC？,What's NFC?,什么 nfc?
什么是蜂窝网络？,What's a cellular network?,什么 是 hite network?
什么是区块链技术？,What's block chain technology?,什么 是 block chain technology?
什么是物联网的应用？,What are the applications of the Internet?,什么 是 物 network application?
什么是计算机病毒？,What's a computer virus?,什么 是 computer viral?
什么是防火墙的作用？,What's a firewall?,什么 是 filter working?
什么是加密的作用？,What's the role of encryption?,什么 是 encryption?
什么是物理安全的措施？,What are physical safety measures?,什么 是 physico-security process?
什么是局域网（LAN）？,What's the local area network (LAN)?,什么 是 network (lan )?
什么是广域网（WAN）？,What's a wide area network (WAN)?,什么 是 working network (wan )?
什么是交换机？,What's a switch?,什么 是 transport?
什么是路由器？,What's a router?,什么 是 roacher?
什么是网关？,What's a gateway?,什么 是 network?
什么是调制解调器？,What's a modem?,什么 是 calculation mediter?
什么是以太网？,What's Ethernet?,什么 ether network?
什么是光纤通信？,What's a fibre-optic communication?,什么 是 fibre commence?
什么是蓝牙？,What's Bluetooth?,什么 蓝牙?
什么是Wi-Fi？,What's Wi-Fi?,什么 wi-fi?
什么是NFC？,What's NFC?,什么 nfc?
什么是5G技术？,What's 5G technology?,什么 5g technology?
什么是边缘计算？,What's a margin calculation?,什么 是 margin calculation?
什么是雾计算？,What's fog computing?,什么 是 mort calculation?
什么是量子计算？,What's quantum computing?,什么 是 quantual calculation?
什么是区块链？,What's a block chain?,什么 是 block chain?
什么是云存储？,What's a cloud storage?,什么 是 cloud storage?
什么是人工智能的应用？,What's an AI application?,什么 是 intelligence application?
什么是物联网的应用？,What are the applications of the Internet?,什么 是 物 network application?
什么是机器学习的应用？,What's a machine learning application?,什么 是 machine learning application?
什么是深度学习的应用？,What are applications for in-depth learning?,什么 是 深度 learning application?
什么是大数据的应用？,What is the application of big data?,什么 是 big data application?
什么是云计算的应用？,What's a cloud computing application?,什么 是 cloud computing application?
什么是数据挖掘的应用？,What is the application of data mining?,什么 是 data dining application?
什么是自然语言处理的应用？,What is the use of natural language treatment?,什么 是 language processing application?
什么是推荐系统？,What's a referral system?,什么 是 supervised system?
什么是计算机视觉？,What's computer visual?,什么 computer visual?
什么是网络安全威胁？,What are cyber security threats?,什么 是 security contraction?
什么是DDoS攻击？,What's a DDos attack?,什么 是 dDos attraction?
什么是SQL注入攻击？,What's SQL injection into the attack?,什么 sql inhaled agriction?
什么是XSS攻击？,What's an XSS attack?,什么 是 xs ss tack?
什么是社会工程攻击？,What's a social engineering attack?,什么 是 enhancement extraction?
什么是防火墙的类型？,What's the firewall type?,什么 是 flaring wil? in 类型?
什么是VPN的用途？,What's the use of VPN?,什么 vpn's application?
什么是入侵检测系统（IDS）？,What's the intrusion detection system?,什么 是 invasive processing system ( ids )?
什么是入侵防御系统（IPS）？,What's an intrusion defense system?,什么 是 invasive system ( ips )?
什么是端点安全？,What's terminal security?,什么 end-point security?
什么是零信任安全模型？,What's a zero confidence security model?,什么 是 nudence security model?
什么是移动安全？,What's mobile security?,什么 movement security?
什么是基带信号？,What's the strap signal?,什么 是 straint signal?
什么是带宽？,What's bandwidth?,什么 是 straps?
什么是模数转换器（ADC）？,What's an ADC?,什么 是 mold contractioner ( aDC)?
什么是数模转换器（DAC）？,What's a modulus converter (DAC)?,什么 是 qual modurer? ( cac ) converder?
什么是宽带？,What's broadband?,什么 是 graft?
什么是光纤到户（FTTH）？,What's a fibre optic to the house (FTTH)?,什么 是 fibre to hub ( fttsh )?
什么是调制解调器（Modem）？,What's a Modem modem?,什么 是 moderation? (modem )?
什么是互联网协议（IP）？,What's an Internet protocol?,什么 是 internet protocol? ( ip ) ?
什么是传输控制协议（TCP）？,What's the transmission control protocol?,什么 是 transport control protocol ( tCP)?
什么是用户数据报协议（UDP）？,What is the User Data Reporting Protocol (UDP)?,什么 是 opportunity data protocol (UDP) ?
什么是动态主机配置协议（DHCP）？,What is a dynamic host configuration protocol (DHCP)?,什么 是 minoric host configation protocol ( DHCP)?
什么是网络地址转换（NAT）？,What's a network address conversion (NT)?,什么 是 network 转换 (nat )?
什么是虚拟专用网（VPN）？,What's a VPN?,什么 是 virtual network ( vpn )?
什么是万维网（WWW）？,What's the World Wide Web?,什么 是 work? (WWwW) wil?
什么是超文本标记语言（HTML）？,What's HTML?,什么 是 hyper-文本标记语言(电话L)?
什么是级联样式表（CSS）？,What's the Cascade Style Sheet?,什么 是 cains chain? ( css ) challeng?
什么是JavaScript？,What's JavaScript?,什么 java script?
什么是面向对象编程？,What's object-oriented programming?,什么 是 对象 programming?
什么是函数式编程？,What's a function programming?,什么 是 function-式 programming?
什么是结构化编程？,What's structured programming?,什么 是 struting programming?
什么是模块化编程？,What's modular programming?,什么 模块化 programming?
什么是敏捷开发？,What is agile development?,什么 是 agile development?
什么是Scrum？,What's Scrum?,什么 scruum?
什么是极限编程（XP）？,What's the XP?,什么 是 extraction programming? (XP ) application?
什么是看板方法？,What's a watchboard?,什么 是 visual application?
什么是DevOps？,What's Devops?,什么 devops?
什么是持续集成（CI）？,What's continuous integration?,什么 是 continuous integration? ( ci ) inseparence?
什么是持续交付（CD）？,What is continuous delivery (CD)?,什么 是 continuous 交付(CD)?
什么是Git？,What's Git?,什么 git?
什么是GitHub？,What's GitHub?,什么 git hub?
什么是分支？,What's a branch?,什么 是 system?
什么是合并？,What's a merger?,什么 computing?
什么是冲突？,What's a conflict?,什么 是 contraction?
什么是提交？,What's the submission?,什么 是 superction?
什么是回滚？,What's a rollback?,什么 是 regregation?
什么是克隆？,What's a clone?,什么 是 cloud?
什么是远程仓库？,What's a remote warehouse?,什么 是 robe storage?
什么是本地仓库？,What's a local warehouse?,什么 是 local storage?
什么是代码审查？,What's a code review?,什么 是 censer?
什么是单元测试？,What's a unit test?,什么 是 machine test?
什么是集成测试？,What's an integration test?,什么 是 integration test?
什么是系统测试？,What's a system test?,什么 是 system?
什么是验收测试？,What's the acceptance test?,什么 是 application test?
什么是回归测试？,What's a regression test?,什么 是 regression test?
什么是性能测试？,What's a performance test?,什么 是 perfacturity test?
什么是压力测试？,What's the pressure test?,什么 是 stress test?
什么是负载测试？,What's a load test?,什么 是 loud test?
什么是可用性测试？,What's the usability test?,什么 是 可用 test?
什么是安全测试？,What's a safety test?,什么 security test?
什么是白盒测试？,What's a white box test?,什么 是 bite box test?
什么是黑盒测试？,What's a black box test?,什么 是 block test?
什么是灰盒测试？,What's the ash box test?,什么 是 ash box test?
什么是静态测试？,What's a static test?,什么 是 static test?
什么是动态测试？,What's a dynamic test?,什么 是 minority test?
什么是集成开发环境（IDE）？,What is the Integrated Development Environment (IDE)?,什么 是 integration development 环境 ( ide )?
什么是编译器优化？,What's the compiler optimization?,什么 是 computing machine optimization?
什么是内联函数？,What's an internal function?,什么 是 internet firm?
什么是JIT编译？,What's JIT compiling?,什么 JIT computing?
什么是垃圾回收？,What's garbage recycling?,什么 是 spam?
什么是内存泄漏？,What's a memory leak?,什么 是 ical lilch?
什么是线程安全？,What's a thread secure?,什么 是 wiring security?
什么是同步机制？,What's a synchronization mechanism?,什么 是 system?
什么是锁？,What's a lock?,什么 是 lock?
什么是死锁？,What's a dead lock?,什么 是 lock?
什么是线程池？,What's a thread pool?,什么 是 chain?
什么是进程间通信（IPC）？,What is inter-process communication (IPC)?,什么 是 inter-processing communication (IPC)?
什么是信号量？,What's the signal?,什么 是 signal qual?
什么是互斥量？,What's a peer-to-peer?,什么 是 opportunity?
什么是管道？,What's a pipe?,什么 是 piping?
什么是消息队列？,What's the message queue?,什么 是 integration chain?
什么是共享内存？,What's shared memory?,什么 是 jail?
什么是套接字？,What's a socket?,什么 是 setting?
什么是远程过程调用（RPC）？,What's a remote process call (RPC)?,什么 是 rogue process call ( rPC)?
什么是服务网格？,What's a service grid?,什么 是 service chain?
什么是负载均衡？,What's the load balance?,什么 是 loud 平衡?
什么是容错？,What's wrong?,什么 是 容错?
什么是高可用性？,What's high availability?,什么 是 高 application?
什么是分布式存储？,What's distributed storage?,什么 是 different storage?
什么是分布式计算？,What's a distributed calculation?,什么 是 different 式 calculation?
什么是容器编排？,What's the container setup?,什么 是 claser argument?
什么是微内核？,What's a microkernel?,什么 是 machine kernel?
什么是单片内核？,What's a single kernel?,什么 是 flock kernel?
什么是虚拟机？,What's a virtual machine?,什么 是 virtual machine?
什么是虚拟化？,What's virtual?,什么 虚拟化?
什么是边缘计算？,What's a margin calculation?,什么 是 margin calculation?
什么是物联网（IoT）？,What's Iot?,什么 是 物 network ( iot )?
什么是智能家居？,What's a smart house?,什么 是 smart hub?
什么是智慧城市？,What's a smart city?,什么 是 smart city?
什么是大数据？,What's big data?,什么 是 big data?
什么是人工智能（AI）？,What's artificial intelligence?,什么 intelligence? (AIAI) ?
什么是机器学习？,What's machine learning?,什么 是 machine learning?
什么是智能合约？,What's a smart contract?,什么 是 smart contraction?
什么是区块链的共识机制？,What is a consensus mechanism for block chains?,什么 是 block chain? of consensus mechanis?
什么是区块链的哈希函数？,What's the Hashi function of the block chain?,什么 是 block chain? 的 hash firm?
什么是区块链的矿工？,What's a block chain miner?,什么 是 block chain? of miners challeng?
什么是区块链的挖矿？,What's the digging of the block chain?,什么 是 block chain? of grains challeng?
什么是区块链的去中心化？,What's the centralization of the block chain?,什么 是 block chain? 的去中心化?
什么是区块链的节点？,What's the node of the block chain?,什么 是 block chain? of nodes challeng?
什么是区块链的链上治理？,What is chain governance of the block chain?,什么 是 block chain? 的 chains 上 governance challeng?
什么是区块链的侧链？,What's the side of the block chain?,什么 是 block chain? of challeng?
什么是区块链的硬分叉？,What's a hard fork in the block chain?,什么 是 block chain? of 硬分 fork challeng?
什么是区块链的软分叉？,What's a soft fork in the block chain?,什么 是 block chain? of soft fork challeng?
什么是区块链的51%攻击？,What was the 51% attack on the block chain?,什么 是 block chain? of 51 perfack?
什么是区块链的冷钱包？,What's the cold wallet of the block chain?,什么 是 block chain? of cold challeng?
什么是区块链的热钱包？,What's the hot wallet of the block chain?,什么 是 block chain? of heat challeng?
什么是区块链的去信任？,What's a block chain going to trust?,什么 是 block chain? 的去信任 challeng?
什么是区块链的分片？,What's a fragment of the block chain?,什么 是 block chain? of challeng?
什么是区块链的预言机？,What's a block chain prophecy machine?,什么 是 block chain? in 的 pholmachine challeng?
什么是区块链的DApp？,What's the Dapp in the block chain?,什么 是 block chain? of dapp challeng?
什么是区块链的稳定币？,What's a stable currency in the chain of blocks?,什么 是 block chain? 的 strease challeng?
什么是区块链的分布式账本？,What's a distributed account book for the block chain?,什么 是 block chain? in the different-packed challeng?
什么是区块链的代币？,What's a token of the block chain?,什么 是 block chain? of dicens?
什么是区块链的智能合约平台？,What's a smart contract platform for block chains?,什么 是 block chain? 的 smart contraction platport?
什么是区块链的工作量证明（PoW）？,What's the PoW?,什么 是 block chain? computing certify (pow ) challeng?
什么是区块链的权益证明（PoS）？,What's a PoS certificate of interest in the block chain?,什么 是 block chain? of pros (pos ) challeng?
什么是区块链的权益授权证明（DPoS）？,What is the title certificate (DPoS) of the block chain?,什么 是 block chain? of processed certify (DPoS) challeng?
什么是区块链的拜占庭容错（BFT）？,What's a Byzantine (BFT) error in the block chain?,什么 是 block chain? 的 byghanten jail (bft) challeng?
什么是区块链的闪电网络？,What's the lightning grid in the block chain?,什么 是 block chain? of blob challeng?
什么是区块链的哈希率？,What's the Hashigen in the block chain?,什么 是 block chain? of hashigen challeng?
什么是区块链的燃料费（Gas）？,What's the fuel cost of the block chain?,什么 是 block chain? 的 frufical ( gas ) challeng?
什么是区块链的ERC-20标准？,What's the ERC-20 standard for block chains?,什么 是 block chain? 的 ERC-20 system?
什么是区块链的去中心化金融（DeFi）？,What is DeFi's decentralisation of the block chain?,什么 是 block chain? of decentization ( defi ) challeng?
什么是区块链的合约调用？,What's the contractual call for the block chain?,什么 是 block chain? of contraction call?
什么是区块链的隐私保护？,What is the privacy of the block chain?,什么 是 block chain? of privical protection challeng?
什么是区块链的零知识证明？,What is the zero-knowledge proof of the block chain?,什么 是 block chain? of 零知识 process?
什么是区块链的侧链跨链？,What's the side chain of the block chain across the chain?,什么 是 block chain? of extra-chains challeng?
什么是区块链的加密货币？,What's the encrypted currency of the block chain?,什么 是 block chain? of encrypted calculation challeng?
什么是区块链的治理代币？,What is the governance token of the block chain?,什么 是 block chain? of govinal mitens challeng?
什么是区块链的共识算法？,What's a consensus algorithm for block chains?,什么 是 block chain? of consensus algorithm?
什么是区块链的跨链技术？,What is the cross-chain technology of the block chain?,什么 是 block chain? of extra-chain technology?
什么是区块链的侧链？,What's the side of the block chain?,什么 是 block chain? of challeng?
什么是区块链的链上数据？,What's the data on the chain of blocks?,什么 是 block chain? in 的 chains 上 data challeng?
什么是区块链的链外数据？,What's the extra-chain data on the block chain?,什么 是 block chain? in 的 extra-chain data challeng?
什么是区块链的数字身份？,What's the digital identity of the block chain?,什么 是 block chain?
什么是区块链的非同质化代币（NFT）？,What's a non-homogenous token (NFT) of the block chain?,什么 是 block chain? 的非homogenous mitens ( nft ) challeng?
什么是区块链的稳健性？,What's the robustness of the block chain?,什么 是 block chain? of blob challeng?
什么是区块链的可靠性？,What's the reliability of the block chain?,什么 是 block chain? of reliable challeng?
什么是区块链的可扩展性？,What is the scalability of the block chain?,什么 是 block chain? of scalable chains?
什么是区块链的安全性？,What's the security of the block chain?,什么 是 block chain?
什么是区块链的去中心化应用（DApp）？,What is the decentralised application of the block chain?,什么 是 block chain? of decentization application (dapp )?
什么是区块链的主链？,What's the main chain of the block chain?,什么 是 block chain?
什么是区块链的测试网？,What's a test network for block chains?,什么 是 block chain? of test network?
什么是区块链的主网？,What's the main network of block chains?,什么 是 block chain? 的 network challeng?
什么是区块链的闪电网络？,What's the lightning grid in the block chain?,什么 是 block chain? of blob challeng?
什么是存储虚拟化？,What's storage virtualization?,什么 是 storage 虚拟化?
什么是计算虚拟化？,What's a computational virtualization?,什么 computing virtualization?
什么是网络虚拟化？,What's virtualization?,什么 network virtualization?
什么是裸金属服务器？,What's a naked metal server?,什么 是 nudity sermon?
什么是超融合架构？,What's a super-integrated structure?,什么 是 per-computing structure?
什么是软件定义存储（SDS）？,What is software definition storage (SDS)?,什么 是 软件定义 storage ( sds )?
什么是软件定义网络（SDN）？,What is the software definition network (SDN)?,什么 是 软件定义 network ( sdn )?
什么是云原生应用？,What's a cloud-based application?,什么 是 cloud network application?
什么是多云策略？,What's a cloud strategy?,什么 是 cloud strategy?
什么是混合云？,What's a mixed cloud?,什么 是 mixed cloud?
什么是边缘计算？,What's a margin calculation?,什么 是 margin calculation?
什么是物联网平台？,What's an object networking platform?,什么 是 物 network 平台?
什么是5G网络？,What's a 5G network?,什么 是 5g network?
什么是窄带物联网（NB-IoT）？,What's NB-IOT?,什么 是 nubage 物 network ( nb-iot )?
什么是云计算的无服务器架构？,What's a cloud-based no-server structure?,什么 是 cloud computing? 的 no-server structure?
什么是数据湖？,What's a data lake?,什么 是 data lake?
什么是数据仓库？,What's a data warehouse?,什么 是 data storage?
什么是实时数据处理？,What's real-time data processing?,什么 实际 processing?
什么是批处理？,What's a batch?,什么 是 batch process?
什么是数据治理？,What is data governance?,什么 是 data governance?
什么是主数据管理（MDM）？,What is master data management (MDM)?,什么 是 data management ( mdd )?
什么是数据质量管理？,What is data quality management?,什么 是 data 质量 management?
什么是机器学习中的决策树？,What is a decision tree in machine learning?,什么 是 machine learning? 中的 destration network lulting?
什么是计算机视觉中的边缘检测？,What's the edge test in computer visuals?,什么 computer visual? 中的 marginal processing?
什么是神经网络中的反向传播？,What's the reverse transmission in the neural network?,什么 是 network? in 的 refront cirrhation?
什么是计算机图形学中的光栅化？,What's a raster in computer graphics?,什么 是 computer producation? in 的 rusterization learning?
什么是物联网中的MQTT协议？,What's the MQTT protocol on the Internet?,什么 是物 network? in 的 mqtt protocol?
什么是容器化技术中的Kubernetes？,What's Kubernetes in the containerization technology?,什么 是 packer 化 technology? in 的 kubernetes ttsechniques?
什么是分布式计算中的MapReduce模型？,What's the MapReduce model in the distribution calculations?,什么 是 different-式 calculation? in 的 map reduce model computing?
什么是云计算中的弹性计算？,What's elastic in cloud computing?,什么 是 cloud calculation? 中的 flasic computing?
什么是大数据分析中的数据清洗？,What is data cleansing in big data analysis?,什么 是 big analysis? 中的 data rinse 分析?
什么是深度学习中的卷积层？,What's the curly layer in deep learning?,什么 是 depth learning? 中的 curly layer lewd leaching?
什么是网络安全中的社会工程攻击？,What is a social engineering attack in cyber security?,什么 是 security? 中的 社会 engineer application intelligence?
什么是编程中的面向对象编程（OOP）？,What's object-oriented programming in programming?,什么 是 programming? 中的 op-processing ( oop )?
什么是操作系统中的进程调度？,What's the process schedule in the operating system?,什么 是 operating system?
什么是数据库中的事务？,What is the service in the database?,什么 是 database? 中的 service data?
什么是软件开发中的持续集成（CI）？,What is continuous integration (CI) in software development?,什么 是 machine development? in 中的 continuous integration ( ci )?
什么是人工智能中的自然语言处理（NLP）？,What is natural language processing in artificial intelligence (NLP)?,什么 是 intelligence? 中的 language processing ( nlp )?
什么是区块链中的智能合约？,What's the smart contract in the block chain?,什么 是 block chain? 的 smart contraction challeng?
什么是大数据分析中的数据挖掘？,What is data mining in big data analysis?,什么 是 big analysis? 中的 data exploring ?
什么是计算机网络中的IP地址？,What's the IP address in the computer network?,什么 是 network? in 的 IP 位置 woven?
什么是编程语言中的解释器？,What's an interpreter in programming language?,什么 是 processing language? 中的 interptioner?
什么是虚拟化技术中的Docker？,What's Docker in virtual technology?,什么 是 virtualization technology? in 的 docker t技术?
什么是数据分析中的主成分分析（PCA）？,What is the primary component analysis in data analysis (PCA)?,什么 是 data analysis? 中的 the 主 computing 分析 (PCA) ?
什么是并行计算中的GPU加速？,What's the GPU acceleration in parallel calculations?,什么 是 qual calculation? in 的 gpu acceleration computing?
