instruction_zh,instruction_en,code_mixed_generated
什么是网络协议中的TCP/IP协议？,What is the TCP/IP protocol in the network protocol?,什么 是 protocol? in 的 TCP/IP approcation?
什么是机器学习中的监督学习？,What is supervisory learning in machine learning?,什么 是 machine learning? 中的 supervisory l学习 ?
什么是计算机安全中的加密？,What's encryption in computer security?,什么 computer security? in 的 encryption?
什么是编程中的函数式编程？,What's a function programming in programming?,什么 是 programming? in 的 function 式 splowing application?
什么是操作系统中的虚拟内存？,What's a virtual memory in an operating system?,什么 是 operation system? of virtual ical storage?
什么是数据库中的索引？,What is the index in the database?,什么 是 database? 中的 exploration data?
什么是软件开发中的敏捷开发？,What is agility development in software development?,什么 是 soft learning? in 的 agile development ?
什么是人工智能中的深度学习？,What's deep learning in artificial intelligence?,什么 是 intelligence? 中的深度 learning?
什么是区块链中的共识机制？,What is the consensus mechanism in the block chain?,什么 是 block chain? in 的 consensus chains?
什么是大数据分析中的ETL过程？,What's the ETL process in big data analysis?,什么 是 big analysis? 中的 etl process?
什么是计算机网络中的子网掩码？,What's a subnet mask in a computer network?,什么 是 network? in 的 woven 网络?
什么是编程语言中的编译器？,What's a compiler in programming language?,什么 是 processing language? 中的 collesser plaining?
什么是虚拟化技术中的KVM？,What's KVM in virtual technology?,什么 是 virtualization technology? in 的 kvm titechniques?
什么是数据分析中的数据可视化？,What is visualization of data in data analysis?,什么 是 analysis? 中的 data visualization 分析 ?
什么是并行计算中的多线程？,What's multilined in parallel calculations?,什么 是 qual calculation? in 的 plough-lined processing computing?
什么是网络协议中的HTTP/HTTPS协议？,What is the HTTP/HTTPS protocol in the network protocol?,什么 是 protocol? in 的 HTTP/HTTTPS approach?
什么是机器学习中的无监督学习？,What is unsupervised learning in machine learning?,什么 是 machine learning? 中的 in unsupervised l学习?
什么是计算机安全中的防火墙？,What's a firewall in computer security?,什么 computer security? in 的 flaring chains?
什么是编程中的模块化编程？,What's modular programming in programming?,什么 是 programming? 中的模块化processing ?
什么是操作系统中的进程间通信（IPC）？,What is inter-process communication (IPC) in the operating system?,什么 是 operating system? 中的 inter-processing ( ipc ) ?
什么是数据库中的视图？,What's the view in the database?,什么 是 database? in 的 visual data?
什么是对象存储？,What's object storage?,什么 对象 storage?
什么是文件存储？,What's a file storage?,什么 是 storage?
什么是区块存储？,What's block storage?,什么 是 block storage?
什么是固态硬盘（SSD）？,What's a solid-state hard drive?,什么 是 solity lock dyke ( ssd )?
什么是机械硬盘（HDD）？,What's a mechanical hard drive?,什么 是 machine dyke ( hdd )?
什么是RAID？,What's RAID?,什么 raid?
什么是RAID 0？,What's RAID 0?,什么 raid 0?
什么是RAID 1？,What's RAID 1?,什么 raid 1?
什么是RAID 5？,What's RAID 5?,什么 raid 5?
什么是RAID 6？,What's RAID 6?,什么 是 raid 6?
什么是磁盘阵列？,What's a disk array?,什么 是 clater chain?
什么是存储区域网络（SAN）？,What's a storage area network?,什么 是 storage 区network ( san )?
什么是网络附加存储（NAS）？,What's an additional web storage (NAS)?,什么 是 interim storage (NAS)?
什么是光纤通道？,What's a fibre-optic channel?,什么 是 fibre chain?
什么是iSCSI？,What's iSCSI?,什么 iSCli?
什么是NFS协议？,What's the NFS deal?,什么 nfs protocol?
什么是SMB协议？,What's the SMB protocol?,什么 是 smb protocol?
什么是数据去重？,What's the data to weigh?,什么 是 data going regressed?
什么是数据压缩？,What's data compression?,什么 是 data condensation?
什么是快照？,What's a snapshot?,什么 是 block?
什么是存储池？,What's a storage pool?,什么 是 storage pool?
什么是存储虚拟化？,What's storage virtualization?,什么 是 storage 虚拟化?
什么是存储分层？,What's the storage layer?,什么 是 storage layer?
什么是数据迁移？,What's data migration?,什么 是 data migration?
什么是存储加密？,What's storage encryption?,什么 是 storage encryption?
什么是数据备份？,What's a data backup?,什么 是 data backup?
什么是异地备份？,What's off-site backup?,什么 是 vagre backup?
什么是增量备份？,What's an incremental backup?,什么 是 incredulous backup?
什么是差异备份？,What's the difference backup?,什么 是 difference backup?
什么是全备份？,What's the full backup?,什么 是 intensive backup?
什么是恢复时间目标（RTO）？,What's a recovery time target?,什么 是 recovery time 目标(rto )?
什么是恢复点目标（RPO）？,What's a recovery point target?,什么 是 recovery点目标目标 ( rpo )?
什么是业务连续性计划（BCP）？,What is the Business Continuity Plan (BCP)?,什么 是 continuity plan (bCP)?
什么是灾难恢复计划（DRP）？,What is a disaster recovery plan (DRP)?,什么 是 advant recovery 计划 (drp )?
什么是信息生命周期管理（ILM）？,What is information life cycle management (ILM)?,什么 是 interim management ( ilm )?
什么是数据治理？,What is data governance?,什么 是 data governance?
什么是数据存储？,What's data storage?,什么 是 data storage?
什么是数据归档？,What's a data archive?,什么 是 data argument?
什么是数据销毁？,What is data destruction?,什么 是 data development?
什么是存储设备？,What's a storage device?,什么 是 storage 器?
什么是磁带存储？,What's tape storage?,什么 margage storage?
什么是光盘存储？,What's a CD-ROM?,什么 CD-器?
什么是云存储？,What's a cloud storage?,什么 是 cloud storage?
什么是冷存储？,What's cold storage?,什么 冷 storage?
什么是热存储？,What's the heat storage?,什么 是 hessage?
什么是大数据存储？,What's big data storage?,什么 是 big storage?
什么是数据块？,What's a data block?,什么 是 data block?
什么是数据条带化？,What's data stripping?,什么 是 data trafficization?
什么是数据镜像？,What's a data mirror?,什么 是 data mirage?
什么是并行文件系统？,What's a parallel file system?,什么 是 calculation system?
什么是分布式文件系统？,What's a distributed file system?,什么 是 different system?
什么是元数据？,What's metadata?,什么 是 machine data?
什么是数据脱敏？,What's data desensitization?,什么 是 data desensenance?
什么是数据加密？,What's data encryption?,什么 是 data encryption?
什么是数据一致性？,What is data consistency?,什么 是 data consistence?
什么是数据完整性？,What is data integrity?,什么 是 data integration?
什么是数据可靠性？,What is data reliability?,什么 是 data relication?
什么是数据可用性？,What is data availability?,什么 是 data application?
什么是存储带宽？,What's the storage bandwidth?,什么 是 storage stramming?
什么是存储延迟？,What's the storage delay?,什么 是 storage delay?
什么是存储吞吐量？,What's storage throughput?,什么 是 storage 吞量?
什么是数据恢复？,What is data recovery?,什么 是 data recovery?
什么是存储管理？,What's storage management?,什么 是 storage management?
什么是存储策略？,What's the storage strategy?,什么 是 storage strategy?
什么是存储分析？,What's storage analysis?,什么 存储 analysis?
什么是存储优化？,What's storage optimization?,什么 是 storage optivation?
什么是数据复制？,What is data replication?,什么 是 data producation?
什么是数据同步？,What's data synchronization?,什么 是 data system?
什么是分布式存储？,What's distributed storage?,什么 是 different storage?
什么是闪存？,What's a flash?,什么 是 filter storage?
什么是磁盘阵列控制器？,What's a disk array controller?,什么 是 calculation chain consistress?
什么是存储架构？,What's the storage structure?,什么 是 storage structure?
什么是大数据存储技术？,What's big data storage technology?,什么 是 big storage technology?
什么是分布式哈希表？,What's a distributed Hash watch?,什么 是 difeted hash 表?
什么是NoSQL数据库？,What's the NoSQL database?,什么 nosql database?
什么是对象存储服务？,What is object storage service?,什么 是 对象 storage service?
什么是存储虚拟机？,What's a storage virtual machine?,什么 是 storage virch?
什么是存储容器？,What's a storage container?,什么 是 storage claser?
什么是存储卷？,What's a storage roll?,什么 是 storage?
什么是数据块设备？,What's a data block device?,什么 是 data block 器?
什么是文件系统快照？,What's a file system snapshot?,什么 是 system?
什么是分布式存储系统？,What's a distributed storage system?,什么 是 different storage system?
什么是超融合基础设施？,What's a super-integrated infrastructure?,什么 是 super-intensive integration?
什么是软件定义存储？,What's software definition storage?,什么 是 system storage?
什么是存储区域网络交换机？,What is a storage area network switch?,什么 是 storage traffic network?
什么是数据恢复点？,What are the data recovery points?,什么 是 data recovery 点?
什么是云备份？,What's a cloud backup?,什么 是 cloud backup?
什么是高可用存储？,What's a high-availability store?,什么 高可用存储?
什么是数据访问控制？,What is data access control?,什么 是 data calculation?
什么是边缘计算中的雾计算？,What's the fog in the margin calculation?,什么 是 margin calculation? in 的 miscocal cascuration cincation computing?
什么是深度学习中的反向传播算法？,What is a reverse dissemination algorithm in deep learning?,什么 是 深度 learning? 中的 refront cirrhation algorithms?
什么是无服务器架构？,What's a no-server structure?,什么 是 no-server structure?
什么是区块链中的硬分叉？,What's a hard fork in a block chain?,什么 是 block chain? in 的硬分 fork challeng?
什么是大数据分析中的数据清洗？,What is data cleansing in big data analysis?,什么 是 big analysis? 中的 data rinse 分析?
什么是机器学习中的模型评估？,What is model assessment in machine learning?,什么 是 machine learning? 中的 model application lulting?
什么是5G网络中的网络切片技术？,What's the Web Slicing Technology in the 5G Network?,什么 是 5g network? in 的 网络 strape technology?
什么是数据挖掘中的聚类分析？,What is a cluster analysis in data mining?,什么 是 data mining? 中的 computing analysis?
什么是物联网的设备管理平台？,What is the equipment management platform for the network?,什么 是 物 network? 的 器 management 平台?
什么是DevOps中的持续集成？,What is continuous integration in DevOps?,什么 是 devops? 中的 continuous integration?
什么是深度学习中的全连接层？,What's an all-connection layer in deep learning?,什么 是 depth learning? in 的 intelligent contraction layer lewd l学习 lulting?
什么是网络安全中的SQL注入攻击？,What's SQL in cyber security injecting into an attack?,什么 是 security? in 的 sql intruding extractions?
什么是大数据技术中的Hadoop？,What's Hadoop in big data technology?,什么 是 big data technology? in 的 hadoop ttsechnique?
什么是边缘计算中的数据分片？,What's the data fraction in the margin calculation?,什么 是 margin calculation? in 的 data fibre?
什么是数据科学中的特征选择？,What is characteristic selection in data science?,什么 是 data science? 中的 system?
什么是自然语言处理中的文本分类？,What is the classification of text in natural language processing?,什么 是 language processing? 中的 computing chains?
什么是区块链中的智能合约？,What's the smart contract in the block chain?,什么 是 block chain? 的 smart contraction challeng?
什么是机器学习中的特征提取？,What's characterization extraction in machine learning?,什么 是 machine learning? 中的 exploring?
什么是边缘计算中的数据缓存？,What is the data cache in the margin calculation?,什么 是 margin calculation? in 的 data cake card cas?
什么是5G网络中的小基站？,What's a little base station in the 5G network?,什么 是 5g network? in 的 小 kocket?
什么是大数据分析中的时间序列分析？,What is time-series analysis in big data analysis?,什么 是 big analysis? 中的 time service 分析 ?
什么是机器学习中的集成方法？,What are the integration methods in machine learning?,什么 是 machine learning? 中的 integrational approach?
什么是深度学习中的Dropout技术？,What's Dropout technology in deep learning?,什么 是 深度 learning? 中的 dropout technology?
什么是区块链中的零知识证明？,What is the proof of zero knowledge in the block chain?,什么 是 block chain? in 的 pocket challeng?
什么是网络安全中的社会工程攻击？,What is a social engineering attack in cyber security?,什么 是 security? 中的 社会 engineer application intelligence?
什么是计算机视觉中的图像分割？,What's an image split in computer visuals?,什么 是 computer visual? 中的 image separing?
什么是大数据分析中的数据融合？,What is data integration in big data analysis?,什么 是 big analysis? 中的 data integration 分析?
什么是深度学习中的迁移学习？,What is migration learning in depth?,什么 是 深度 learning? 中的 migration l学习 ?
什么是物联网中的LoRa技术？,What's the Lora technology on the Internet?,什么 是物 network? in 的 lorra technology ?
什么是边缘计算中的数据预处理？,What is the pre-processing of data in the margin calculation?,什么 是 margin calculation? in 的 data pre-processing computing?
什么是区块链中的共识机制？,What is the consensus mechanism in the block chain?,什么 是 block chain? in 的 consensus chains?
什么是机器学习中的监督学习？,What is supervisory learning in machine learning?,什么 是 machine learning? 中的 supervisory l学习 ?
什么是网络安全中的DDoS攻击？,What's a DDoS attack on cyber security?,什么 是 security? in 的 ddos intelligence?
什么是大数据分析中的ETL？,What's ETL in big data analysis?,什么 是 big analysis? 中的 ETL 分析 ?
什么是智能家居中的物联网协议？,What's a network protocol for smart households?,什么 是 smart hub? 中的物 network protocess?
什么是机器学习中的无监督学习？,What is unsupervised learning in machine learning?,什么 是 machine learning? 中的 in unsupervised l学习?
什么是网络安全中的恶意软件？,What's malware in cyber security?,什么 security? in 的 malwart software ?
什么是大数据分析中的数据仓库？,What is the data warehouse in the big data analysis?,什么 是 big analysis? 中的 data storage 分析?
什么是机器学习中的强化学习？,What is intensive learning in machine learning?,什么 是 machine learning? 中的 intensive l学习 lulting?
什么是边缘计算中的负载均衡？,What's the load balance in the margin calculation?,什么 是 margin calculation? in 的 lisk-packing 平衡 clascation computing?
什么是5G网络中的网络功能虚拟化（NFV）？,What is virtualization of network functions (NFVs) in the 5G network?,什么 是 5g network? in 的 woven functions virtualization ( nfv ) ?
什么是大数据分析中的数据挖掘？,What is data mining in big data analysis?,什么 是 big analysis? 中的 data exploring ?
什么是机器学习中的特征工程？,What's character engineering in machine learning?,什么 是 machine learning? 中的 regressive engineer lulting?
什么是边缘计算中的服务编排？,What is the arrangement of services in the margin calculation?,什么 是 margin calculation? 中的 service processing computing?
什么是自然语言处理中的命名实体识别（NER）？,What is naming entity (NER) in natural language processing?,什么 是 language processing? 中的 ignite entitrecation ( ner )?
什么是深度学习中的循环神经网络（RNN）？,What is the circular neural network (RNN) in deep learning?,什么 是 depth learning? 中的 circular network ( rnn )?
什么是计算机视觉中的特征点检测？,What's a feature spot test in computer visuals?,什么 是 visual computer? 中的 regression processing?
什么是数据挖掘中的关联规则？,What are the correlation rules in data mining?,什么 是 data mining? 中的 association rules?
什么是5G网络中的边缘计算？,What's the margin calculation in the 5G network?,什么 是 5g network? in 的 margin calculation?
什么是大数据分析中的数据可视化？,What is visualization of data in big data analysis?,什么 是 big analysis? 中的 data visualization 分析?
什么是机器学习中的回归分析？,What is regression analysis in machine learning?,什么 是 machine learning? 中的 regression analysis?
什么是边缘计算中的数据融合？,What is the data integration in the margin calculation?,什么 是 margin calculation? 中的 data integration computing?
什么是智能交通系统？,What's a smart traffic system?,什么 是 smart transport system?
什么是大数据分析中的主成分分析（PCA）？,What is the Main Component Analysis in Big Data Analysis (PCA)?,什么 是 big analysis? 中的 the 主 computing 分析 (PCA) ?
什么是物联网中的窄带物联网（NB-IoT）？,What is a narrowband network (NB-IOT) in the object network?,什么 是物 network? 中的 nubage 物联网 ( nb-iot ) woven?
什么是区块链中的软分叉？,What's a soft fork in a block chain?,什么 是 block chain? in 的 soft fork challeng?
什么是网络安全中的入侵检测系统（IDS）？,What's an intrusion detection system in cyber security?,什么 是 security? 中的 invasive processing system ( ids )?
什么是深度学习中的GAN？,What's GAN in deep learning?,什么 是 depth learning? 中的 gan lulting?
什么是边缘计算中的实时分析？,What is real-time analysis in margin calculations?,什么 是 margin calculation? 中的 repertinent analysis computing?
什么是大数据分析中的数据湖？,What is a data lake in big data analysis?,什么 是 big analysis? 中的 data lake 分析 ?
什么是机器学习中的K-means聚类？,What is the K-means cluster in machine learning?,什么 是 machine learning? in 的 k-means computing chains?
什么是边缘计算中的事件驱动架构？,What is the event-driven structure in the margin calculation?,什么 是 margin calculation? in 的 extraction-driven structure computing?
什么是自然语言处理中的机器翻译？,What's a machine translation in natural language processing?,什么 是 language processing? 中的 machine interlation composing ?
什么是深度学习中的注意力机制？,What is a focus mechanism for in-depth learning?,什么 是 depth learning? 中的 exploring machine leaching?
什么是大数据分析中的数据仓库？,What is the data warehouse in the big data analysis?,什么 是 big analysis? 中的 data storage 分析?
什么是边缘计算中的数据过滤？,What's the data filter in the margin calculation?,什么 是 margin calculation? 中的 data filter computing?
什么是区块链中的去中心化金融（DeFi）？,What is decentralized finance in the block chain?,什么 是 block chain? 中的 decentization ( defi ) challeng?
什么是计算机视觉中的目标跟踪？,What's a computer visual target tracking?,什么 computer visual? in 的 supervisory?
什么是物联网中的RFID技术？,What's RFID technology on the Internet?,什么 是物 network? in 的 rfid technology?
什么是深度学习中的图卷积网络（GCN）？,What is the rolling network (GCN) in depth learning?,什么 是 depth learning? 中的 chains cloud network ( gCN)?
什么是机器学习中的贝叶斯网络？,What's the Bayesian Network in machine learning?,什么 是 machine learning? in 的 bayes network lulting?
什么是边缘计算中的容器化技术？,What is the packaging technology in the margin calculation?,什么 是 margin calculation? 中的 packerization technology computing?
什么是大数据分析中的数据采集？,What is data collection in big data analysis?,什么 是 big analysis? 中的数据 分析 ?
什么是智能合约中的链上治理？,What's chain governance in smart contracts?,什么 是 smart contraction? in 的 chains on governance?
什么是5G网络中的网络切片？,What's a web slice in a 5G network?,什么 是 5g network? in 的 网络 slicing woven?
什么是大数据分析中的数据清洗？,What is data cleansing in big data analysis?,什么 是 big analysis? 中的 data rinse 分析?
什么是物联网的设备管理？,What is the equipment management of the network?,什么 是 物 network? 的 器 management?
什么是DevOps中的持续部署？,What's a continuous deployment in DevOps?,什么 是 devops? 中的 continuous deploration?
什么是智能合约中的Gas费？,What's the Gas fee in the smart contract?,什么 是 smart contraction? in 的 gras期 concoctions?
什么是机器学习中的决策树算法？,What is the decision tree algorithm in machine learning?,什么 是 machine learning? 中的 destribe algorithm?
什么是边缘计算中的数据处理？,What's the data processing in the margin calculation?,什么 是 margin calculation? 中的 processing clascation computing?
什么是区块链中的侧链跨链？,What's the side chain in the block chain?,什么 是 block chain? in 的 extra-chains challeng?
什么是数据挖掘中的分类算法？,What are classification algorithms in data mining?,什么 是 data mining? 中的 clasculation algorithm?
什么是计算机视觉中的图像复原？,What's a computer visual image recovery?,什么 computer visual? 中的 image recovery?
什么是自然语言处理中的词向量？,What are the word vectors in natural language processing?,什么 是 language processing? 中的 verbage?
什么是边缘计算中的数据聚合？,What's the data aggregation in the margin calculation?,什么 是 margin calculation? 中的 data aggregation computing?
什么是机器学习中的随机森林？,What is random forest in machine learning?,什么 是 machine learning? in 的 roach rinse lewd?
什么是大数据分析中的关联分析？,What is a correlation analysis in a big data analysis?,什么 是 big analysis? 中的 assertion 分析 ?
什么是边缘计算中的服务部署？,What is the service deployment in the margin calculation?,什么 是 margin calculation? 中的 service deplorment computing?
什么是深度学习中的Batch Normalization？,What's Batch Normalization in deep learning?,什么 是 depth learning? in 的 batch normalization lultation?
什么是机器学习中的过拟合？,What's a collage in machine learning?,什么 是 machine learning? 中的过 croach lulting?
什么是物联网中的边缘计算节点？,What are the marginal calculation nodes in the object network?,什么 是物 network? in 的 margin calculation nodes?
什么是5G网络中的毫米波技术？,What is millimetre wave technology in the 5G network?,什么 是 5g network? in 的 mm blob technology?
什么是数据科学中的数据探索？,What is data exploration in data science?,什么 是 data science? 中的 datigation scientify?
什么是深度学习中的损失函数？,What's a loss function in deep learning?,什么 是 depth learning? in 的 working firth?
什么是区块链中的链上数据和链外数据？,What are the data on and off the chain in the block chain?,什么 是 block chain? in 的 chains 上 grains and extra-chain data?
什么是云计算中的容器编排？,What's the packaging set up in the cloud count?,什么 是 cloud calculation? 中的 curking argument processing?
什么是机器学习中的LSTM网络？,What's the LSTM network in machine learning?,什么 是 machine learning? in 的 lstm network lts?
什么是大数据分析中的数据采样？,What is the sampling of data in big data analysis?,什么 是 big analysis? 中的 data processing 分析?
什么是物联网中的远程监控？,What's remote monitoring in the object network?,什么 是 物 network? 中的 processing internet?
什么是5G网络中的超可靠低时延通信（URLLC）？,What is ultra-reliable low-time delay communication (URLLC) in the 5G network?,什么 是 5g network? in 的 super-reliable low time communication (URLLC)?
什么是数据科学中的数据预处理？,What is data pre-processing in data science?,什么 是 data science? 中的 database pre-processing system?
什么是深度学习中的卷积核？,What's the volume in the depth of learning?,什么 是 depth learning? 中的 curly nuding leaching?
什么是区块链中的哈希算法？,What's the Hashi algorithm in the block chain?,什么 是 block chain? in 的 hash algorithm?
什么是云计算中的负载均衡？,What's the load balance in cloud calculations?,什么 是 cloud calculation? in 的 load-carrition 平衡 chain computing?
什么是机器学习中的支持向量机（SVM）？,What is the support vector machine (SVM) in machine learning?,什么 是 machine learning? 中的 supplication veer ( svm )?
什么是大数据分析中的数据整合？,What is data integration in big data analysis?,什么 是 big analysis? 中的 data integration 分析?
什么是物联网中的智能传感器？,What's a smart sensor in a product network?,什么 是 物 network? 中的 smart sensor internet?
什么是5G网络中的大规模MIMO技术？,What is the large-scale MIMO technology in the 5G network?,什么 是 5g network? in 的 大 mmo technology?
什么是数据科学中的特征缩放？,What is the scaling of characteristics in data science?,什么 是 data science? in 的 system?
什么是深度学习中的自编码器？,What's a self-encoder in deep learning?,什么 是 depth learning? in 的 super-encoder lulting?
什么是区块链中的Merkle树？,What's the Merkle tree in the block chain?,什么 是 block chain? in 的 mekle rub?
什么是云计算中的虚拟化技术？,What is virtualization technology in cloud computing?,什么 是 cloud calculation? 中的 virtualization technology computing?
什么是机器学习中的朴素贝叶斯算法？,What's the PARK Soybeth algorithm in machine learning?,什么 是 machine learning? 中的 park soybeth algorithm?
什么是大数据分析中的数据剖析？,What's a data profile in a big data analysis?,什么 是 big analysis? 中的 data procession 分析?
什么是物联网中的物理网关？,What's the physical gateway in the object network?,什么 是 物 network? 中的 物理 网networking?
什么是5G网络中的波束成形技术？,What's a beam-forming technology in the 5G network?,什么 是 5g network? in 的 beam struting technology?
什么是数据科学中的数据降维？,What's a data loss in data science?,什么 是 data science? in 的 database scientis?
什么是深度学习中的GAN生成对抗网络？,What's the GAN generation counter-network in deep learning?,什么 是 depth learning? 中的 gan generation 对抗 network?
什么是区块链中的侧链技术？,What's the side chain technology in the block chain?,什么 是 block chain? in 的 侧链 technology?
什么是云计算中的弹性伸缩？,What's elasticity in cloud computing?,什么 是 cloud calculation? in 的 elasticity contracting computing?
什么是机器学习中的K-最近邻算法？,What is the K-Recent Neighbor Algorithm in machine learning?,什么 是 machine learning? 中的 k-recent negative algorithm?
什么是大数据分析中的数据聚合？,What is data aggregation in big data analysis?,什么 是 big analysis? 中的 data aggregation 分析 ?
什么是物联网中的低功耗广域网（LPWAN）？,What is the low-capacity wide area network (LPWAN) in the object network?,什么 是物 network? in 的 low-owin graft WAN (LPWAN)?
什么是5G网络中的网络功能虚拟化（NFV）？,What is virtualization of network functions (NFVs) in the 5G network?,什么 是 5g network? in 的 woven functions virtualization ( nfv ) ?
什么是数据科学中的特征提取？,What is feature extraction in data science?,什么 是 data science? 中的 extraction scientify?
什么是深度学习中的卷积神经网络（CNN）？,What's the curly neural network (CNN) in deep learning?,什么 是 depth learning? 中的 curly network ( cnn )?
什么是区块链中的非同质化代币（NFT）？,What are the non-homogenous tokens (NFTs) in the block chain?,什么 是 block chain? in 的 no-homogenous mitens ( nft ) challeng?
什么是云计算中的无服务器架构？,What's a no-server structure in cloud calculations?,什么 是 cloud calculation? in 的 no-server structure?
什么是机器学习中的随机森林算法？,What are random forest algorithms in machine learning?,什么 是 machine learning? in 的 smart friven algorithm?
什么是大数据分析中的数据透视？,What is the data lens in the big data analysis?,什么 是 big analysis? 中的 data dagrication 分析?
什么是物联网中的设备互联互通？,What is equipment connectivity in the object network?,什么 是 物 network? in 的 设备 internetting woven?
什么是5G网络中的低时延高可靠通信（uRLLC）？,What is low-time long and reliable communications (uRLLC) in the 5G network?,什么 是 5g network? in 的 low-hrough-高-reliable communication (uRLLC)?
什么是数据科学中的数据清洗？,What is data cleansing in data science?,什么 是 data science? 中的 database rinse?
什么是深度学习中的循环神经网络（RNN）？,What is the circular neural network (RNN) in deep learning?,什么 是 depth learning? 中的 circular network ( rnn )?
什么是区块链中的共识机制？,What is the consensus mechanism in the block chain?,什么 是 block chain? in 的 consensus chains?
什么是云计算中的对象存储？,What's the object storage in the cloud calculation?,什么 是 cloud calculation? 中的 对象 storage computing?
什么是机器学习中的线性回归？,What's a linear regression in machine learning?,什么 是 machine learning? 中的 linear regression lulting?
什么是大数据分析中的数据湖？,What is a data lake in big data analysis?,什么 是 big analysis? 中的 data lake 分析 ?
什么是物联网中的智能家居系统？,What's a smart home system in a product network?,什么 是物 network? in 的 smart hub system?
什么是5G网络中的大规模天线系统？,What is a large antenna system in the 5G network?,什么 是 5g network? in 的 large system?
什么是数据科学中的数据标准化？,What is data standardization in data science?,什么 是 data science? 中的 datigation scientify?
什么是深度学习中的迁移学习？,What is migration learning in depth?,什么 是 深度 learning? 中的 migration l学习 ?
什么是区块链中的智能合约？,What's the smart contract in the block chain?,什么 是 block chain? 的 smart contraction challeng?
什么是云计算中的混合云？,What's a mixed cloud in a cloud count?,什么 是 cloud calculation? in 的 mixed curking clication clarch?
